               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.057433,            0.015764,            0.033392,             0.56792,             0.74494,             0.71084,             0.27227,            0.042801,           0.0092277,            0.025994,            0.001455,            0.001455,            0.086755
                  37,            0.056051,            0.012682,            0.031542,             0.65782,             0.96218,             0.80965,             0.41422,            0.045124,           0.0087739,            0.025651,           0.0014938,           0.0014938,            0.086394
                  38,            0.050961,             0.01422,            0.031247,             0.75253,             0.97924,             0.86802,             0.55597,            0.039936,           0.0088364,            0.024605,           0.0015324,           0.0015324,            0.086032
                  39,            0.053352,            0.015053,            0.030294,              0.5165,             0.68099,             0.61471,             0.29445,            0.044114,           0.0088372,            0.023446,            0.001571,            0.001571,            0.085671
                  40,            0.052955,            0.014855,            0.030062,             0.62368,             0.69966,             0.72497,              0.3783,            0.042307,           0.0087191,            0.022769,           0.0016095,           0.0016095,             0.08531
                  41,            0.052978,            0.014205,            0.026152,             0.76688,             0.78242,             0.77274,              0.4023,            0.041985,           0.0087064,            0.022131,            0.001648,            0.001648,            0.084948
                  42,            0.058934,              0.0137,             0.02899,             0.30844,              0.2037,             0.33832,            0.090481,            0.078597,            0.007959,            0.021625,           0.0016863,           0.0016863,            0.084586
                  43,            0.073457,            0.012175,            0.031073,             0.49295,             0.44216,             0.54962,             0.27845,            0.055955,            0.008127,            0.021296,           0.0017246,           0.0017246,            0.084225
                  44,            0.061977,            0.013259,            0.027289,             0.61876,             0.61111,             0.66532,             0.29002,            0.056392,           0.0080497,             0.02069,           0.0017628,           0.0017628,            0.083863
                  45,            0.061057,            0.013219,            0.025948,             0.37631,             0.51852,             0.51745,             0.18413,            0.063397,           0.0079592,            0.020162,           0.0018009,           0.0018009,            0.083501
                  46,            0.072348,            0.011194,            0.029113,             0.73038,             0.70173,             0.73722,             0.21471,            0.066472,           0.0075891,            0.020232,            0.001839,            0.001839,            0.083139
                  47,            0.074435,            0.011635,            0.024424,             0.60741,             0.55135,             0.60097,             0.11423,            0.069067,           0.0075294,            0.019888,           0.0018769,           0.0018769,            0.082777
                  48,            0.074883,            0.012195,            0.027068,             0.44752,              0.7037,             0.62819,             0.21649,            0.066969,            0.007767,            0.019204,           0.0019148,           0.0019148,            0.082415
                  49,             0.07228,            0.012579,            0.023427,             0.49183,             0.42593,             0.38126,            0.078931,             0.06259,           0.0080253,            0.018594,           0.0019526,           0.0019526,            0.082053
                  50,            0.061105,            0.012729,             0.02569,             0.45916,             0.61138,             0.46092,             0.13187,            0.054195,           0.0082062,            0.018309,           0.0019903,           0.0019903,             0.08169
                  51,            0.065801,            0.011072,            0.024091,             0.50252,              0.8077,             0.64226,             0.28392,            0.055794,           0.0082291,            0.017841,           0.0020279,           0.0020279,            0.081328
                  52,            0.062429,            0.013923,            0.025496,             0.56885,             0.72143,              0.6299,             0.23087,            0.067579,            0.007579,             0.01753,           0.0020654,           0.0020654,            0.080965
                  53,            0.076583,            0.012348,            0.025098,             0.48208,             0.40741,             0.47811,             0.10169,            0.070342,           0.0073701,            0.017272,           0.0021028,           0.0021028,            0.080603
                  54,            0.069748,             0.01094,            0.022063,             0.50792,             0.75743,             0.66467,             0.25942,             0.05141,           0.0081459,            0.016981,           0.0021401,           0.0021401,             0.08024
                  55,             0.05953,             0.01253,             0.02176,             0.64475,             0.85185,             0.68962,             0.23096,            0.054407,           0.0078254,            0.016395,           0.0021773,           0.0021773,            0.079877
                  56,            0.058908,            0.012164,             0.02248,             0.66825,             0.61001,             0.65457,             0.28659,            0.057071,            0.007515,             0.01584,           0.0022144,           0.0022144,            0.079514
                  57,            0.063861,            0.013151,            0.021511,             0.40299,             0.79924,             0.61904,             0.22803,            0.060806,           0.0072839,            0.014979,           0.0022514,           0.0022514,            0.079151
                  58,            0.063348,            0.012239,            0.022893,             0.55576,             0.81699,             0.73687,             0.34969,            0.061721,           0.0072344,            0.014488,           0.0022883,           0.0022883,            0.078788
                  59,            0.062108,            0.011526,            0.022643,             0.54848,             0.62858,             0.69482,             0.29708,            0.060627,           0.0072488,            0.014148,           0.0023251,           0.0023251,            0.078425
                  60,            0.062764,            0.012424,            0.022485,             0.37929,             0.74074,             0.46054,             0.16574,            0.059478,            0.007356,            0.013604,           0.0023617,           0.0023617,            0.078062
                  61,            0.061588,             0.01234,            0.020779,              0.4492,             0.79201,             0.62167,             0.20285,            0.065627,           0.0070947,             0.01336,           0.0023983,           0.0023983,            0.077698
                  62,            0.068132,            0.011013,            0.018122,             0.44726,              0.5827,             0.45814,             0.15534,             0.07378,           0.0065776,            0.013079,           0.0024348,           0.0024348,            0.077335
                  63,            0.079274,            0.010227,            0.019266,             0.67489,             0.64815,             0.66595,             0.23136,            0.067959,           0.0067537,            0.013011,           0.0024711,           0.0024711,            0.076971
                  64,            0.067666,            0.010583,            0.018892,             0.60166,              0.7963,             0.66004,             0.27127,            0.051494,           0.0074885,            0.012577,           0.0025074,           0.0025074,            0.076607
                  65,            0.053914,            0.010464,            0.018627,              0.7111,             0.79128,             0.86239,             0.33908,            0.054484,           0.0072036,            0.012351,           0.0025435,           0.0025435,            0.076243
                  66,            0.051615,            0.013069,            0.017612,             0.70335,             0.76956,              0.8309,             0.43696,             0.04693,           0.0072025,            0.011812,           0.0025795,           0.0025795,            0.075879
                  67,             0.05333,            0.013401,            0.019116,             0.45983,             0.77778,             0.57727,             0.23759,            0.058664,           0.0067794,             0.01129,           0.0026154,           0.0026154,            0.075515
                  68,            0.064501,            0.012344,            0.016512,             0.44892,             0.86809,             0.56592,             0.19615,            0.057396,           0.0066399,            0.010796,           0.0026511,           0.0026511,            0.075151
                  69,            0.068653,               0.012,            0.016578,             0.51674,             0.86752,             0.68053,             0.23023,            0.055865,           0.0068238,            0.010497,           0.0026868,           0.0026868,            0.074787
                  70,            0.056438,            0.012429,            0.016099,             0.69499,             0.83985,             0.82663,             0.36934,            0.050909,           0.0068303,            0.010029,           0.0027223,           0.0027223,            0.074422
                  71,            0.061276,            0.011342,            0.016782,             0.50572,             0.83333,             0.64387,             0.34803,            0.057054,           0.0066151,           0.0098655,           0.0027576,           0.0027576,            0.074058
                  72,             0.06301,            0.010663,            0.015641,             0.58378,             0.88406,             0.76244,             0.35698,            0.052817,            0.006973,            0.009893,           0.0027929,           0.0027929,            0.073693
                  73,            0.052837,            0.011638,            0.013771,             0.83568,             0.72952,             0.83249,             0.38929,            0.051079,           0.0066282,           0.0098263,            0.002828,            0.002828,            0.073328
                  74,            0.062245,            0.010915,            0.014875,             0.52436,             0.83333,             0.67323,             0.28287,            0.064607,           0.0061483,           0.0095939,            0.002863,            0.002863,            0.072963
                  75,            0.071581,            0.010651,            0.014601,             0.53659,             0.70209,             0.67402,             0.21622,            0.059673,           0.0063517,           0.0092297,           0.0028979,           0.0028979,            0.072598
                  76,            0.066335,            0.010773,            0.014571,              0.5563,             0.84975,             0.78448,             0.22497,            0.057523,           0.0064273,           0.0091252,           0.0029326,           0.0029326,            0.072233
                  77,            0.060151,            0.010403,            0.014497,             0.51805,             0.98148,             0.81844,             0.33476,            0.056047,           0.0063614,           0.0088112,           0.0029672,           0.0029672,            0.071867
                  78,            0.062192,           0.0099386,            0.013865,             0.55563,              0.7037,             0.71523,             0.30941,            0.058987,           0.0062769,           0.0083235,           0.0030017,           0.0030017,            0.071502
                  79,            0.061242,            0.011141,            0.013608,             0.60685,             0.92593,             0.84406,             0.31078,            0.052213,           0.0064056,           0.0081725,            0.003036,            0.003036,            0.071136
